,Age,FEMALE NO NOISE WORDS,FEMALE NOISE SENTENCE,FEMALE NOISY WORDS,FEMALE SENTENCE,FEMALE WORDS,GENDER,G_ORDER,ID,MALE NO NOISE WORDS,MALE NOISE SENTENCE,MALE NOISY WORDS,MALE SENTENCE,MALE WORDS,NO NOISE SENTENCE,NO NOISE WORDS,NOISE SENTENCE,NOISY WORDS,N_ORDER,PERS,RT_Correct,RT_Female,RT_Male,RT_Without_noise,RT_Wrong,RT_noise,Raw Short Memory,Raw working memory,SHM,TOTAL_RT,WM
28,32.0,17.0,4.0,20.0,8.0,37.0,2.0,male first,5f5a5916d66aea0e98ed1554,17.0,4.0,19.0,8.0,36.0,8.0,34.0,8.0,39.0,noise first,INTRA,1.399164041973035,1.534323626576079,1.3561686265862953,1.4951937515694589,1.9258164374947748,1.3952985015929154,6.0,6.0,HIGH,1.4452461265811871,HIGH
29,21.0,16.0,4.0,17.0,8.0,33.0,2.0,female first,5eaca7d096a624329dcb5e1d,16.0,3.0,12.0,7.0,28.0,8.0,32.0,7.0,29.0,noise first,EXTRA,1.258174754095218,1.2929879999996046,1.3329144546864882,1.3316178749999381,1.4888125361913378,1.2942845796861548,3.0,3.0,AVERAGE,1.3129512273430464,AVERAGE
30,36.0,20.0,4.0,19.0,8.0,39.0,2.0,male first,5f2c4bf4e4f3080e6a469fcc,19.0,4.0,16.0,8.0,35.0,8.0,39.0,8.0,35.0,noise second,INTRA,1.1603378378378395,1.1236249999999928,1.2248265625000123,1.1497765625000023,1.3455104166666805,1.1986750000000028,5.0,5.0,HIGH,1.1742257812500025,HIGH
31,38.0,14.0,4.0,20.0,7.0,34.0,2.0,female first,5d60a209ff0e43001c6917bf,17.0,4.0,17.0,7.0,34.0,6.0,31.0,8.0,37.0,noise first,INTRA,1.8025289705923677,1.9214871250005672,1.9404741250007647,1.8998294999997598,2.658873333314356,1.962131750001572,4.0,4.0,AVERAGE,1.9309806250006658,AVERAGE
32,24.0,15.0,4.0,15.0,7.0,30.0,2.0,male first,5efbf39c54bb011b5d874bd2,12.0,3.0,11.0,7.0,23.0,7.0,27.0,7.0,26.0,noise second,EXTRA,1.2422715094344656,1.2652193750007428,1.2235701000036534,1.279121625001426,1.2485625555610804,1.2096678500029703,5.0,4.0,HIGH,1.244394737502198,AVERAGE
33,25.0,18.0,4.0,20.0,8.0,38.0,2.0,female first,5b33034d975e260001e981c9,17.0,4.0,18.0,7.0,35.0,7.0,35.0,8.0,38.0,noise second,EXTRA,1.998974278251053,1.952952124994772,2.201607182814005,1.941352557809987,2.8938928571463163,2.2132067499987897,5.0,4.0,HIGH,2.0772796539043883,AVERAGE
34,36.0,11.0,4.0,16.0,8.0,27.0,1.0,female first,5ecdc32a4990481488dd574d,13.0,2.0,12.0,4.0,25.0,6.0,24.0,6.0,28.0,noise first,INTRA,2.809615384615385,2.855935937499999,2.7416109374999937,2.912846875000001,2.778638392857132,2.6846999999999923,3.0,0.0,AVERAGE,2.7987734374999964,LOW
35,23.0,16.0,3.0,15.0,6.0,31.0,1.0,female first,59613e627ab4ce00017b8631,13.0,2.0,15.0,6.0,28.0,7.0,29.0,5.0,30.0,noise second,EXTRA,1.760271271187082,1.7918917500006502,1.8248791640631317,1.9434472890628605,1.9435634077387347,1.6733236250009214,4.0,3.0,AVERAGE,1.808385457031891,AVERAGE
36,29.0,15.0,4.0,15.0,8.0,30.0,2.0,male first,5aeab6e39e185a0001b9e272,15.0,4.0,10.0,8.0,25.0,8.0,30.0,8.0,25.0,noise second,EXTRA,1.81636009090965,1.8392925000040485,2.070021874998929,1.8617351249975582,2.258910800003534,2.0475792500054193,4.0,3.0,AVERAGE,1.9546571875014889,AVERAGE
37,32.0,11.0,2.0,13.0,5.0,24.0,2.0,male first,5d478068ff3efc001a89d7de,13.0,3.0,8.0,7.0,21.0,7.0,24.0,5.0,21.0,noise second,INTRA,0.9725002222254665,0.9685737500054529,0.9088966250041267,0.9439603750070091,0.8953230000067768,0.9335100000025705,2.0,1.0,LOW,0.9387351875047898,LOW
